Token	POS-Tag	Sentence	Classe
extremidade	NOUN	Em uma pilha a operação de enfileirar ocorre em qual extremidade?	0
?	PUNCT	Em uma pilha a operação de enfileirar ocorre em qual extremidade?	0
Em	ADP	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
uma	DET	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
fila	NOUN	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
a	DET	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
operação	NOUN	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
de	SCONJ	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
enfileirar	VERB	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
ocorre	VERB	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
em	ADP	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
qual	PRON	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
extremidade	NOUN	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
?	PUNCT	Em uma fila a operação de enfileirar ocorre em qual extremidade?	1
Em	ADP	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
uma	DET	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
fila	NOUN	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
a	DET	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
operação	NOUN	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
de	SCONJ	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
empilhar	VERB	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
ocorre	VERB	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
em	ADP	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
qual	DET	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
extremidade	NOUN	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
?	PUNCT	Em uma fila a operação de empilhar ocorre em qual extremidade?	0
